web-scraper-order,name,price,rating,styleid
1679510539-1,Mens adidas NMD R1 Athletic Shoe - Off White / Sand,$109.98,0,437160
1679510543-2,Mens Levi's Turner Casual Shoe - White,$49.98,0,798072
1679510548-3,Mens Fila Teratach 600 Athletic Shoe - White / Yellow,$79.98,0,452162
1679510552-4,Mens Champion Acela Racer Athletic Shoe - Black / Scarlet,$79.98,0,382111
1679510556-5,Crocs Classic Fuzz-Lined Neo Puff Boot - Black,$49.98,1,521169
1679510561-6,Mens adidas NMD R1 Primeblue Athletic Shoe - Black,$99.98,0,437110
1679510565-7,Mens Birkenstock Arizona Sandal - Mocha,null,30,850601
1679510570-8,Mens PUMA Anzarun Athletic Shoe - Black / Grey,$59.98,0,362023
1679510574-9,Mens Timberland Euro Hiker Shell-Toe Jacquard Boot - Wheat,$49.98,0,531960
1679510578-10,Crocs Classic Clog - Grey,null,2,521067
1679510582-11,Mens adidas NMD R1 Athletic Shoe - Core Black / Semi Lucid Blue / Glory Red,$169.98,0,437221
1679510586-12,Mens Birkenstock Zermatt Clog - Anthracite,$109.98,0,850800
1679510591-13,Mens Tommy Hilfiger Poyner Slip On Casual Shoe - Black,$39.98,0,151940
1679510595-14,Mens The North Face Base Camp III Slide Sandal - Red,null,0,601243
1679510599-15,Crocs Classic Clog - Pepper,null,2,521084
1679510603-16,Mens Sorel Mac Hill™ Lite Rush Boot - Black,$99.98,0,757146
1679510608-17,Mens Birkenstock Zermatt Clog - Mocha,$109.98,0,850801
1679510612-18,Mens Reebok Club C Revenge Athletic Shoe - White / Black,null,0,480921
1679510621-20,Crocs Classic Clog - Taffy Pink,null,1,521213
1679510625-21,Converse Chuck Taylor All Star Lugged Winter 2.0 Boot - Black Monochrome,null,1,399979
1679510629-22,Mens Birkenstock Arizona Sandal - Brown,null,2,850603
1679510633-23,Mens Champion Hyper C Future Athletic Shoe - White,$79.98,0,382112
1679510637-24,Mens Levi's Turner Chambray Casual Shoe - Grey,$39.98,0,798044
1679510643-25,Womens Dr. Martens 1460 8-Eye Patent Boot - Cream,$149.98,0,569305
1679510647-26,Crocs Classic All-Terrain Clog - Slate Gray,null,1,521179
1679510651-27,Mens Birkenstock Arizona EVA Sandal - Black,null,19,850627
1679510655-28,Mens Timberland Davis Square Boot - Wheat,$99.98,0,532115
1679510660-29,Mens Kamik Empire Lo Winter Boot - Chocolate,$99.98,0,801018
1679510664-30,Dr. Martens 1460 8-Eye Vegan Boot - Cherry Red,$169.98,6,573153
1679510668-31,Crocs Classic Clog - Navy,null,5,521124
1679510673-32,Mens Birkenstock Arizona Soft Footbed Sandal - Grey,null,2,850752
1679510678-33,Mens Timberland Davis Square Chukka Boot - Black Monochrome,null,0,531716
1679510682-34,Mens Kamik William Winter Boot - Tan,$99.98,0,801013
1679510686-35,Dr. Martens 1460 8-Eye Boot - Black Monochrome,$199.98,8,573136
1679510691-36,Crocs Classic Clog - Papaya,null,0,521229
1679510695-37,Mens Birkenstock Arizona Soft Footbed Sandal - Tobacco,null,4,850751
1679510699-38,Converse Run Star Hike Platform Sneaker - Saddle,null,1,389032
1679510704-39,Mens Kamik Empire Lo Winter Boot - Black,$99.98,0,801014
1679510708-40,Champion Hyper Cross Low Athletic Shoe - Red / Black / White,$79.98,0,382089
1679510712-41,Crocs Classic Solarized Clog - Black / Multicolour,null,0,521210
1679510717-42,Mens Reef Fanning Sandal - Black / Silver,null,0,830365
1679510721-43,Womens Dr. Martens 1460 8-Eye Patent Boot - Turquoise,null,0,569306
1679510725-44,Vans La Costa Slide On Checkerboard Sandal - Black / White,$39.98,2,497675
1679510730-45,Mens adidas NMD R1 Athletic Shoe - White / Off White / Green,$139.98,0,437187
1679510740-46,Mens Levi's Turner Chambray Casual Shoe - Grey,null,0,797889
1679510744-47,Mens adidas Avryn Athletic Shoe - Grey / Black / Solar Red,null,0,437224
1679510749-48,Mens Levi's 501® Jeffrey Casual Shoe - Tan,null,0,797882
1679510753-49,Mens Levi's Turner Chambray Casual Shoe - Black,null,0,797888
1679510757-50,Mens adidas Swift Run Athletic Shoe - Oreo,null,0,437179
1679510762-51,Mens Hey Dude Wally Stretch Casual Shoe - Meteorite,null,1,802401
1679510766-52,Mens adidas Superstar Athletic Shoe - Olive / White,null,0,437189
1679510770-53,Mens New Balance 574 Rugged Athletic Shoe - Navy / Yellow / Red,null,0,401886
1679510775-54,Mens Levi's Turner Casual Shoe - Navy,$49.98,0,798073
1679510779-55,Vans Old Skool Skate Shoe - Honey Peach,null,0,497951
1679510784-56,Mens Champion Meloso Rally Pro Athletic Shoe - Black / White,null,0,382144
